Позиция;Обозначение;Корпус;Количество;Значение;Поставщик и справка
33;JP2;SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm;1;RX_UA;
34;JP3;SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm;1;TX_CAN;
35;JP4;SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm;1;RX_CAN;
36;L26;L_Radial_D9.5mm_P5.00mm_Fastron_07HVP;1;22 uH;
37;L27;L_12x12mm_H8mm;1;33 uH;
38;R452;R_0805_2012Metric;1;510;
39;R454;R_1206_3216Metric;1;15;
40;R456;R_0805_2012Metric;1;3K;
41;R458,R460,R464,R469;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;4;10k;
42;R459;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;120 Om;
43;R461,R463;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;10;
44;R462;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;3.3k;
45;R466;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;1.5k;
46;R467;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;1k;
47;R468;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;750 Om;
48;RV1;Potentiometer_Bourns_3296W_Vertical;1;10k;
49;SW1;SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm;1;SW_DIP_x01;
50;TP1;TestPoint_Pad_D1.0mm;1;A8;
51;TP2;TestPoint_Pad_D1.0mm;1;REF;
52;TP3;TestPoint_Pad_D1.0mm;1;F6;
53;TP4;TestPoint_Pad_D1.0mm;1;B0;
54;TP5;TestPoint_Pad_D1.0mm;1;E1;
55;TP6;TestPoint_Pad_D1.0mm;1;B1;
56;TP7;TestPoint_Pad_D1.0mm;1;B2;
57;TP9;TestPoint_Pad_D1.0mm;1;GND;
58;TP10;TestPoint_Pad_D1.0mm;1;E7;
59;TP11;TestPoint_Pad_D1.0mm;1;E10;
60;TP12;TestPoint_Pad_D1.0mm;1;E12;
61;TP13;TestPoint_Pad_D1.0mm;1;B13;
62;TP14;TestPoint_Pad_D1.0mm;1;C4;
63;TP15;TestPoint_Pad_D1.0mm;1;C5;
64;U26,U27,U32,U37;SOP-16_4.55x10.3mm_P1.27mm;4;74HC595;20
65;U28;TO-92_Inline;1;TL431LP;10
66;U30;SO-8_3.9x4.9mm_P1.27mm;1;MCP2551-I_SN;
67;U31;TO-220-3_Vertical;1;LM1117-3.3;40
68;U33;PowerIntegrations_SO-8;1;GD25Q16C;250
69;U34;SOIC-8_3.9x4.9mm_P1.27mm;1;MAX3485;
70;U35;SOIC-16W_7.5x10.3mm_P1.27mm;1;ISO7341C;140
71;U36;TO-263-5_TabPin3;1;LM2596S-ADJ;70
72;Y1;Crystal_SMD_HC49-SD;1;Crystal_Small;
73;R470;R_0805_2012Metric;1;nc;
74;TP8,TP16,TP17,TP18,TP19,TP20;TestPoint_Plated_Hole_D4.0mm;6;TestPoint;
;;;;;
;;;;;5679
